date,concentration,day,month,year,day_of_week,timestamp,month_sin,month_cos,years_since_start,season
2018-09-11,0.0189770468100488,11,9,2018,1,1536624000.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-12,0.0,12,9,2018,2,1536710400.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-13,0.023856858846918492,13,9,2018,3,1536796800.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-14,0.03325501536237123,14,9,2018,4,1536883200.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-15,0.0,15,9,2018,5,1536969600.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-16,0.03325501536237123,16,9,2018,6,1537056000.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-17,0.01427796855232243,17,9,2018,0,1537142400.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-18,0.023856858846918492,18,9,2018,1,1537228800.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-19,0.0,19,9,2018,2,1537315200.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-20,0.023856858846918492,20,9,2018,3,1537401600.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-21,0.03325501536237123,21,9,2018,4,1537488000.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-22,0.02855593710464486,22,9,2018,5,1537574400.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-23,0.0189770468100488,23,9,2018,6,1537660800.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-24,0.03325501536237123,24,9,2018,0,1537747200.0,-1.0,-1.8369701987210297e-16,0,4
